Designator,Mid X,Mid Y,Rotation,Layer
C1,15.0114,-7.112,45.0,top
C10,14.732,-14.1478,0.0,top
C12,8.636,-12.7,270.0,bottom
C15,34.025799,-13.3858,180.0,top
C16,30.5714,-13.3858,180.0,top
C17,11.811,-12.827,90.0,top
C18,10.033,-7.112,180.0,top
C19,14.732,-8.9662,180.0,top
C2,28.194,-12.0396,270.0,top
C3,27.051,-3.556,0.0,top
C4,16.637,-8.89,135.0,top
C5,16.383,-7.112,45.0,top
C6,18.9992,-14.097,180.0,top
C7,11.938,-7.112,0.0,top
C8,8.509,-5.969,270.0,top
C9,17.907,-13.081,180.0,top
D1,37.973,-10.16,0.0,top
D2,37.973,-7.62,0.0,top
D3,37.973,-5.08,0.0,top
D4,37.973,-12.7,0.0,top
D8,13.589,-4.064,180.0,top
D9,9.652,-12.827,180.0,top
J1,3.81,-16.51,270.0,bottom
J2,3.81,-1.27,270.0,bottom
J3,3.048,-8.89,270.0,top
J5,41.529,-3.810001,0.0,top
L1,10.922,-5.7205,180.0,top
R1,14.605,-5.588,180.0,top
R11,37.973,-11.43,180.0,top
R2,37.973,-8.89,180.0,top
R3,37.973,-6.35,180.0,top
R4,37.973,-13.97,180.0,top
R5,16.51,-5.588,180.0,top
R6,8.509,-7.874,90.0,top
R7,8.509,-9.906,270.0,top
R8,10.922,-4.191,180.0,top
U1,22.606,-8.89,45.0,top
U2,13.781,-11.557,180.0,bottom
U4,10.795,-9.6575,270.0,top
U5,32.2834,-7.9252,90.0,top
Y1,14.732,-11.557,270.0,top
